"","route","number","xlsx_name","osm_name","osm_id"
"1","Blue",1,"Tamimi Supermarket","Tamimi",1730078895
"2","Blue",2,"Harbor East","Harbor East",3378494602
"3","Blue",3,"G 3961","G-3961",3639861031
"4","Blue",4,"HSC","HRC",505052607
"5","Blue",5,"H 4207A","H-4207A",3378494599
"6","Blue",6,"I 5231","I-5231",3639861033
"7","Blue",7,"I 5244","I-5244",3639861034
"8","Blue",8,"I 5318","I-5318",3639861035
"9","Blue",9,"I 5551","I-5551",482664646
"10","Blue",10,"I 5567","I-5567",3639861036
"11","Blue",11,"Island Oasis","Oasis",479728045
"12","Blue",12,"I 5748","I-5748",3639861037
"13","Blue",13,"I 5764","I-5764",3639861038
"14","Blue",14,"Al Marsa","Al Marsa",677544775
"15","Blue",15,"H 4104","H-4104",3639861032
"16","Blue",16,"H 4113A","H-4113A",3378494597
"17","Blue",17,"H 4119","H-4119",3378494598
"18","Blue",18,"Grand Mosque","Grand Mosque",472821336
"19","Blue",19,"Building 18","Building 18",1730078413
"20","Blue",20,"Building 14","Building 14",3378493791
"21","Blue",21,"Building 16","Building 16",3378493792
"22","Blue",22,"KMC (Clinic)","Clinic",3378494593
"23","Orange",1,"Tamimi Supermarket","Tamimi",1730078895
"24","Orange",2,"HES","HES",3639841605
"25","Orange",3,"I 5202","I-5202",3639841606
"26","Orange",4,"I 5511","I-5511",3639841610
"27","Orange",5,"I 5605","I-5605",3639841611
"28","Orange",6,"I 522M","I-522M",3639841607
"29","Orange",7,"I 535M","I-535M",3639841608
"30","Orange",8,"I 548M","I-548M",3639841609
"31","Orange",9,"IRC ","IRC",3639841614
"32","Orange",10,"I 5716","I-5716",472290870
"33","Orange",11,"I 5732","I-5732",3639841613
"34","Orange",12,"I 5630","I-5630",3639841612
"35","Orange",13,"I 5614","I-5614",481884999
"36","Orange",14,"I 5529","I-5529",479728044
"37","Orange",15,"H 4206 A","H-4206A",472288185
"38","Orange",16,"KAUST INN","Kaust Inn",3639841615
"39","Orange",17,"Building 18","Building 18",1730078413
"40","Orange",18,"Building 14","Building 14",3378493791
"41","Orange",19,"Building 16","Building 16",3378493792
"42","Orange",20,"KMC (Clinic)","Clinic",3378494593
"43","Green",1,"Tamimi Supermarket","Tamimi",1730078895
"44","Green",2,"G3727","G-3727",3378664480
"45","Green",3,"G3749","G-3749",3639893852
"46","Green",4,"G3770","G-3770",3378664481
"47","Green",5,"G1811","G-1811",3639893847
"48","Green",6,"G2307","G-2307",3639893849
"49","Green",7,"G2323","G-2323",3639893850
"50","Green",8,"G2341","G-2341",3639893851
"51","Green",9,"G2357","G-2357",2689870575
"52","Green",10,"G2237","G-2237",3639893848
"53","Green",11,"G2141","G-2141",2689870565
"54","Green",12,"G1749","G-1749",3639893846
"55","Green",13,"GSS","GSS",3641149267
"56","Green",14,"G1735","G-1433",3639893843
"57","Green",15,"G1705","G-1705",3639893844
"58","Green",16,"G3805","G-3805",3639893854
"59","Green",17,"G3754","G-3754",3639893853
"60","Green",18,"KMC (Clinic)","Clinic",3378494593
"61","Green",19,"Building 16","Building 16",3378493792
"62","Green",20,"Building 14","Building 14",3378608085
"63","Green",21,"Building 18","Building 18",646519188
"64","Grey",1,"Tamimi Supermarket","Tamimi",1730078895
"65","Grey",2,"G3417","G-3417",3639872983
"66","Grey",3,"G3443","G-3443",3639872984
"67","Grey",4,"GES","G-1317",3378608694
"68","Grey",5,"G1364","G-1364",3378608695
"69","Grey",6,"G1250","G-1250",3639872979
"70","Grey",7,"G1164","G-1164",3639872977
"71","Grey",8,"G1174","G-1174",3639872978
"72","Grey",9,"G2277","G-2277",2383040642
"73","Grey",10,"G2261","G-2261",3639872982
"74","Grey",11,"G2014","G-2014",3639872981
"75","Grey",12,"G1785","G-1785",3639872980
"76","Grey",13,"G1660","G-1660",2383039452
"77","Grey",14,"G1445","G-1445",1474848638
"78","Grey",15,"G1427","G-1427",1474848622
"79","Grey",16,"G3446","G-3446",3639872985
"80","Grey",17,"G3831","G-3831",3639872986
"81","Grey",18,"KMC (Clinic)","Clinic",3378494593
"82","Grey",19,"Building 16","Building 16",3378493792
"83","Grey",20,"Building 14","Building 14",3378608085
"84","Grey",21,"Building 18","Building 18",646519188
"85","Purple",1,"Tamimi Supermarket","Tamimi",1730078895
"86","Purple",2,"G3151","G-3151",3378664472
"87","Purple",3,"G3170","G-3170",3639801458
"88","Purple",4,"G3194","G-3194",3639801460
"89","Purple",5,"G3217","G-3217",3639801461
"90","Purple",6,"G1010","G-1026",3639801451
"91","Purple",7,"G1026","G-1141",3639801454
"92","Purple",8,"G1044","G-1235",3639801456
"93","Purple",9,"G1173","Gardens School",1410252038
"94","Purple",10,"G1141","G-3382",3639801462
"95","Purple",11,"G1121","G-3452",3639801463
"96","Purple",12,"G1235","G-3175",3639801459
"97","Purple",13,"GES","G-3176",3378664473
"98","Purple",14,"G3382","G-3045",3378664470
"99","Purple",15,"G3352","G-3106",3639801457
"100","Purple",16,"G3176","Building 18",1730078413
"101","Purple",17,"G3045","Building 14",3378493791
"102","Purple",18,"G3106","Building 16",3378493792
"103","Purple",19,"KMC (Clinic)","Clinic",3378494593
"104","Purple",20,"Building 16",NA,NA
"105","Purple",21,"Building 14",NA,NA
"106","Purple",22,"Building 18",NA,NA
"107","Red",1,"Tamimi Supermarket","Tamimi",1730078895
"108","Red",2,"G3612","G-3612",3561500604
"109","Red",3,"G3655","G-3655",3561500607
"110","Red",4,"G3640","G-3640",3561500606
"111","Red",5,"G1616","G-1616",3561500597
"112","Red",6,"G1626","G-1626",3561500598
"113","Red",7,"G1840","G-1840",3561500600
"114","Red",8,"G2134","G-2134",3561500602
"115","Red",9,"G1881","G-1881",3561500601
"116","Red",10,"G1769","G-1769",3561500599
"117","Red",11,"G1553","G-1553",3561500596
"118","Red",12,"GES","GES",1474848639
"119","Red",13,"G1531","G-1531",2689870548
"120","Red",14,"G1507","G-1507",2102394342
"121","Red",15,"G3522","G-3522",3561500603
"122","Red",16,"G3621","G-3621",3561500605
"123","Red",17,"KMC (Clinic)","Clinic",3378494593
"124","Red",18,"Building 16","Building 16",3378493792
"125","Red",19,"Building 14","Building 14",3378493791
"126","Red",20,"Building 18","Building 18",1730078413
"127","Yellow",1,"Tamimi Supermarket","Tamimi",1730078895
"128","Yellow",2,"Building 16","Building 16",3378493792
"129","Yellow",3,"Chemical Whse","Chemical Warehouse",1143947675
"130","Yellow",4,"CSAB","CSOB",3378677968
"131","Yellow",5,"Transport Bldg. 1","Transport Building 1",447946604
"132","Yellow",6,"CPU","Central Production Unit",3378677969
"133","Yellow",7,"Security Building","Security Building & ID Office",3378677970
"134","Yellow",8,"Building 14","Building 14",3378608085
"135","Yellow",9,"Building 18","Building 18",646519188
"136","Yellow",10,"KMC (Clinic)","Clinic",3378494593
"137","Campus",1,"Tamimi Supermarket","Tamimi",1730078895
"138","Campus",2,"KMC Clinic","Clinic",3639254250
"139","Campus",3,"Building 16","Building 16",3378493792
"140","Campus",4,"Building 14","Building 14",3378608085
"141","Campus",5,"Building 18","Building 18",646519188
"142","Fun1",1,"TAMIMI","Tamimi",1730078895
"143","Fun1",2,"GOLF","Golf",560070523
"144","Fun1",3,"RACKET","Racquet club",3639903836
"145","Fun1",4,"I R C","IRC",3639841614
"146","Fun1",5,"HSC","HRC",505052607
"147","Fun1",6,"CINEMA","Cinema",3639903835
"148","Fun2",1,"TAMIMI","Tamimi",1730078895
"149","Fun2",2,"DISCOVERY SQUARE","Building 18",1730078413
"150","Fun2",3,"BEACH","Beach",3497706670
"151","Fun2",4,"WATER SPORT CLUB","WSC",3497706671
